author	description	retweet
mariofan717	I’ve been so busy with Odyssey I almost forgot that it’s the tenth anniversary of Super Mario Galaxy, one of the be… https://t.co/ndAlLZl3fo	False
tuwonboy	I liked a @YouTube video https://t.co/q5IP4CKrtg SORRY PEACH, WHAT\'S GOOD PAULINE!? [SUPER MARIO ODYSSEY] [#06]	False
JacobCassReal	Gostei de um vídeo @YouTube https://t.co/5Qzi5wnTNL MARIO ODYSSEY SPEEDRUNS IN A NUTSHELL	False
maribellemusic	Ok but Super Mario Odyssey took me 3 days to finish.. def thought it was going to be way longer than that 🤔	False
life_zaq	約15万ピースのドミノでスーパーマリオ オデッセイを表現した圧巻のムービー https://t.co/2muQPVoBma https://t.co/INkPKuJn5m	False
shinjyo_2013	約15万ピースのドミノでスーパーマリオ オデッセイを表現した圧巻のムービー https://t.co/naWFs5rEGC https://t.co/YhUCclTYTr	False
WiiNewsdaily	Super Mario Galaxy\'s Amazing Legacy -- And Inspirations For Super Mario Odyssey - https://t.co/DegglfFTpO https://t.co/MwadleBYWT	False
kakusan__chan	約15万ピースのドミノでスーパーマリオ オデッセイを表現した圧巻のムービー https://t.co/RpHtvgi2l3 https://t.co/KdSSCw37B6	False
GameDesignshare	Games Inbox: WWII video game resurgence, Super Mario Odyssey honesty, and Need For Speed Payback - Metro https://t.co/dbwsYaoIPp	False
injustoneframe	RT @AeroViro: What the shibe in Super Mario Odyssey actually sounds like https://t.co/dCkxeAMlRA	True
zeffrat	Super Mario odyssey looks so good I\'m gonna cry I need a switch	False
KicksRmyCareer	Mario Odyssey is awesome!!! #NintendoSwitch	False
Omarh8912	I liked a @YouTube video https://t.co/1IgkoBxAwB SORRY PEACH, WHAT\'S GOOD PAULINE!? [SUPER MARIO ODYSSEY] [#06]	False
misspiichi	RT @PrettypastelMel: Happy #cutiesaturday ! I\'m drawing all of Peach\'s outfits in Mario Odyssey and here is what I have so far, excluding…	True
Trondolay	I’m actually upset with myself that I had to use the motorbike cheat to do the 100 jump rope challenge in Mario odyssey 😔	False
indiegames1	Mario Odyssey: The Final (Toughest!) Moon Guide https://t.co/sFiRK8zjPI #indie #letsplay	False
VermillionJ94	RT @AeroViro: What the shibe in Super Mario Odyssey actually sounds like https://t.co/dCkxeAMlRA	True
queenanimetrash	SUPER MARIO ODYSSEY WAS SO GOOD where is super luigi odyssey, following the story of luigi and bowser planning their wedding	False
BenjaminOlitsky	I liked a @YouTube video https://t.co/pqBx56toWg Super Mario Odyssey: Garggle Talk - PART 10 - Game Grumps	False
Gooeyark	I liked a @YouTube video https://t.co/0MECGdSL6O SUPER MARIO ODYSSEY SPEEDRUNS IN A NUTSHELL	False
Cherry7Heart	RT @AeroViro: What the shibe in Super Mario Odyssey actually sounds like https://t.co/dCkxeAMlRA	True
ShylaWraith	I liked a @YouTube video https://t.co/yKsHy70EBF Super Mario Odyssey: That Fish Mouth, Though - PART 11 - Game Grumps	False
vessalius	i bought mario odyssey w/ the bday money i got from my bro u_u no regret yet	False
fedosova_d	RT @Kotaku: Jump, man!Here\'s how to give Mario that extra boost in Super Mario Odyssey: https://t.co/s1J6pEYxEA	True
DownUnderTeam_	RT @Kaz_Live_Tweets: It\'s time for some Super Mario Odyssey!!! https://t.co/BDhkDc8Xg8 @DownUnderTeam_ https://t.co/p2pS205ktP	True
GrandTheftPony	Me gustó un video de @YouTube https://t.co/iXbz7XIjiC Que Emoción Ver todo Esto !! Épica Aventura - Super Mario Odyssey #9 | En	False
Am3liaR	@Nic_Hamilton @Am3liaR  hey wassup i’m amelia and today i got super mario odyssey	False
Takaushi_Kun	RT @AeroViro: What the shibe in Super Mario Odyssey actually sounds like https://t.co/dCkxeAMlRA	True
hazard021	RT @AeroViro: What the shibe in Super Mario Odyssey actually sounds like https://t.co/dCkxeAMlRA	True
gamedalfthegrey	Just beat Super Mario Odyssey! 385 moons and I unlocked the Mushroom Kingdom from Mario 64. Thank you… https://t.co/mpA7XJopPs	False
Yoshichao	@jaoblia not me, i am just eavesdropping on a topic i saw on the front page. hes on the mario odyssey board which i… https://t.co/C5vhBzDBQe	False
WaterHasATaste	Just 100% Mario Odyssey. Aside from all the coin grinding, it was an absolute blast. Made me smile from beginning t… https://t.co/B0ZCIqOBsI	False
KeanuValentin	RT @Andrew_Reiner: 10 games you should play this year:1. The Legend of Zelda: Breath of the Wild2. Horizon: Zero Dawn3. Super Mario Ody…	True
GerardMenfaim51	"J\'aime une vidéo @YouTube : ""Super Mario Odyssey : Pays de la Forêt | Ep 3"" à l\'adresse https://t.co/CRYrEpidTI."	False
ShineTono	"RT @SmashBros_Nin: ""Wow, that new Mario Odyssey commercial was great, Nintendo really outdid themselves"" Me, an intellectual: https://t.c…"	True
PersonaBoi	RT @AeroViro: What the shibe in Super Mario Odyssey actually sounds like https://t.co/dCkxeAMlRA	True
Maxygamer100	RT @JayKubzScouts: I\'m actually mad at myself that I can\'t do the 100 jump rope challenge in Mario odyssey 😩	True
Tizzi_Q	RT @sics6n: FINISHING SUPER MARIO ODYSSEY! https://t.co/G0s7zAUvXb https://t.co/Ze5rUDWl46	True
